time,open,high,low,close,tick_volume,spread,real_volume
1689890400,1.11263,1.11334,1.1126,1.11319,1689,0,0
1689894000,1.1132,1.11322,1.11283,1.1129,634,0,0
1689897600,1.11291,1.11343,1.11234,1.11342,1051,4,0
1689901200,1.11342,1.11365,1.1131,1.11347,546,2,0
1689904800,1.11347,1.1138,1.11334,1.11344,606,0,0
1689908400,1.11344,1.11382,1.11298,1.11375,1404,0,0
1689912000,1.11374,1.11405,1.1131,1.11388,2656,0,0
1689915600,1.11388,1.11417,1.11361,1.11395,1305,0,0
1689919200,1.11395,1.11405,1.11344,1.11362,964,0,0
1689922800,1.11362,1.11398,1.11345,1.11396,999,0,0
1689926400,1.11396,1.11438,1.11338,1.11433,1213,0,0
1689930000,1.11432,1.11449,1.11355,1.11429,3066,0,0
1689933600,1.1143,1.11447,1.1125,1.11282,5131,0,0
1689937200,1.1128,1.11377,1.11216,1.11283,4650,0,0
1689940800,1.11283,1.11321,1.1122,1.1128,4420,0,0
1689944400,1.1128,1.11292,1.11202,1.11255,2602,0,0
1689948000,1.11255,1.11314,1.11173,1.11183,2918,0,0
1689951600,1.11184,1.11344,1.11184,1.11284,4615,0,0
1689955200,1.11284,1.11381,1.11117,1.11187,5396,0,0
1689958800,1.11187,1.11188,1.1108,1.11134,4798,0,0
1689962400,1.11132,1.11261,1.11122,1.11196,2905,0,0
1689966000,1.11197,1.11254,1.11156,1.11235,1402,0,0
1689969600,1.11235,1.1129,1.11229,1.1126,1152,0,0
1689973200,1.1126,1.11303,1.11241,1.11248,1660,0,0
1689976800,1.11248,1.11255,1.11192,1.11255,883,0,0
1689980400,1.11254,1.11292,1.11241,1.11246,686,0,0
1690156800,1.11213,1.11327,1.11203,1.11315,396,13,0
1690160400,1.11317,1.11317,1.11243,1.1128,1057,2,0
1690164000,1.11279,1.11301,1.11236,1.11243,771,0,0
1690167600,1.11243,1.11328,1.11227,1.11298,1056,0,0
1690171200,1.11298,1.11308,1.11196,1.11223,1783,0,0
1690174800,1.11219,1.11311,1.1120700000000001,1.11265,1262,0,0
1690178400,1.11264,1.11291,1.11248,1.11255,942,0,0
1690182000,1.11255,1.11256,1.1117,1.11202,714,0,0
1690185600,1.11199,1.11325,1.11188,1.1132,1230,0,0
1690189200,1.1132,1.11411,1.11246,1.11358,3124,0,0
